[2020-01-28 14:43:44] [Error] System.Exception: 端口已被占用
   在 Shadowsocks.Controller.Listener.Start(Configuration config, Int32 port)
   在 Shadowsocks.Controller.ShadowsocksController.Reload()
[2020-01-28 14:44:07] [Error] connect to update server error
[2020-01-28 14:45:29] ShadowsocksR started on port 1080
[2020-01-28 14:45:37] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:45:37] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:45:37] [Info] Connect www.tlanyan.me:443
[2020-01-28 14:45:37] [Info] Connect www.tlanyan.me:443
[2020-01-28 14:45:38] [Info] Connect www.xttblogger.com:80
[2020-01-28 14:45:38] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:45:39] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:45:39] [Info] Connect tlanyan.me:443
[2020-01-28 14:45:40] [Info] Connect www.youtube.com:443
[2020-01-28 14:45:40] [Info] Direct connect fonts.googleapis.com:443
[2020-01-28 14:45:41] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:45:41] [Info] Direct connect fonts.gstatic.com:443
[2020-01-28 14:45:41] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:45:41] [Info] Disconnect www.xttblogger.com:80
[2020-01-28 14:45:41] [Info] Connect yt3.ggpht.com:443
[2020-01-28 14:45:42] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:45:43] [Info] Direct connect fonts.gstatic.com:443
[2020-01-28 14:45:43] [Info] Connect mip.api.mcafeewebadvisor.com:443
[2020-01-28 14:45:44] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:45:45] [Info] Connect i.ytimg.com:443
[2020-01-28 14:45:45] [Info] Connect i.ytimg.com:443
[2020-01-28 14:45:45] [Info] Connect i.ytimg.com:443
[2020-01-28 14:45:45] [Info] Connect i.ytimg.com:443
[2020-01-28 14:45:46] [Info] Disconnect i.ytimg.com:443
[2020-01-28 14:45:46] [Info] Connect webadvisorc.rest.gti.mcafee.com:443
[2020-01-28 14:45:46] [Info] Disconnect i.ytimg.com:443
[2020-01-28 14:45:46] [Info] Connect www.google.com:443
[2020-01-28 14:45:47] [Info] Direct connect googleads.g.doubleclick.net:443
[2020-01-28 14:45:47] [Info] Disconnect i.ytimg.com:443
[2020-01-28 14:45:48] [Info] Direct connect securepubads.g.doubleclick.net:443
[2020-01-28 14:45:48] [Info] Direct connect ad.doubleclick.net:443
[2020-01-28 14:45:49] [Info] Disconnect www.tlanyan.me:443
[2020-01-28 14:45:49] [Info] Direct connect static.doubleclick.net:443
[2020-01-28 14:45:49] [Info] Direct connect pagead2.googlesyndication.com:443
[2020-01-28 14:45:53] [Info] Connect clients4.google.com:443
[2020-01-28 14:45:55] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:45:56] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:45:56] [Info] Disconnect tlanyan.me:443
[2020-01-28 14:46:02] [Info] Connect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 14:46:04] [Info] Connect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 14:46:06] [Info] Connect r4---sn-a5mekn7d.googlevideo.com:443
[2020-01-28 14:46:06] [Info] Connect r4---sn-a5mekn7d.googlevideo.com:443
[2020-01-28 14:46:06] [Info] Connect r5---sn-qxoedn7z.googlevideo.com:443
[2020-01-28 14:46:07] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:46:08] [Info] Disconnect r5---sn-qxoedn7z.googlevideo.com:443
[2020-01-28 14:46:10] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:46:11] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:46:12] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:46:13] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:46:15] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:46:16] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:46:19] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:46:19] [Info] Disconnect r4---sn-a5mekn7d.googlevideo.com:443
[2020-01-28 14:46:19] [Info] Disconnect r4---sn-a5mekn7d.googlevideo.com:443
[2020-01-28 14:46:21] [Info] Connect r4---sn-a5mekn7d.googlevideo.com:443
[2020-01-28 14:46:22] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:46:22] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:46:25] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:46:27] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:46:28] [Info] Connect 176.122.165.96:9999
[2020-01-28 14:46:28] [Info] Disconnect r4---sn-a5mekn7d.googlevideo.com:443
[2020-01-28 14:46:30] [Info] Connect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 14:46:31] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:46:34] [Info] Connect clients4.google.com:443
[2020-01-28 14:46:49] [Info] Connect clients1.google.com:443
[2020-01-28 14:46:49] [Info] Disconnect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 14:46:55] [Info] Disconnect mip.api.mcafeewebadvisor.com:443
[2020-01-28 14:47:04] [Info] Disconnect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 14:47:06] [Info] Disconnect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 14:47:19] [Info] Connect r4---sn-a5meknll.googlevideo.com:443
[2020-01-28 14:47:19] [Info] Connect r4---sn-a5meknll.googlevideo.com:443
[2020-01-28 14:47:22] [Info] Connect r4---sn-a5msen7s.googlevideo.com:443
[2020-01-28 14:47:22] [Info] Connect r4---sn-a5meknll.googlevideo.com:443
[2020-01-28 14:47:22] [Info] Connect r2---sn-4g5ednee.googlevideo.com:443
[2020-01-28 14:47:25] [Info] Disconnect r2---sn-4g5ednee.googlevideo.com:443
