[2020-09-14 14:13:24] ShadowsocksR started on port 1080
[2020-09-14 14:13:33] [Error] System.IO.IOException: 文件“C:\Users\xiaotingting\Desktop\shadowsocksr\ShadowsocksR-win-4.9.0\temp\mgwz.dll”正由另一进程使用，因此该进程无法访问此文件。
   在 System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   在 System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   在 System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access, FileShare share, Int32 bufferSize)
   在 Shadowsocks.Controller.FileManager.UncompressFile(String fileName, Byte[] content)
   在 Shadowsocks.Controller.HttpProxyRunner..cctor()
[2020-09-14 14:13:34] ShadowsocksR started on port 1080
[2020-09-14 14:13:39] [Info] Connect www.google.com:443
[2020-09-14 14:13:41] [Info] Direct connect www.gstatic.com:443
[2020-09-14 14:13:42] [Info] Connect content-autofill.googleapis.com:443
[2020-09-14 14:13:42] [Info] Connect apis.google.com:443
[2020-09-14 14:13:43] [Info] Direct connect adservice.google.com:443
[2020-09-14 14:13:43] [Info] Connect raw.githubusercontent.com:443
[2020-09-14 14:15:24] [Info] Disconnect raw.githubusercontent.com:443
[2020-09-14 14:15:45] [Info] Disconnect apis.google.com:443
[2020-09-14 14:16:29] [Info] Disconnect content-autofill.googleapis.com:443
[2020-09-14 14:16:39] [Info] Disconnect www.google.com:443
[2020-09-14 14:18:11] [Info] Connect www.google.com:443
[2020-09-14 14:18:43] [Info] Connect raw.githubusercontent.com:443
[2020-09-14 14:20:14] [Info] Disconnect www.google.com:443
[2020-09-14 14:20:24] [Info] Disconnect raw.githubusercontent.com:443
[2020-09-14 14:20:48] [Info] Connect android.clients.google.com:443
[2020-09-14 14:22:50] [Info] Disconnect android.clients.google.com:443
[2020-09-14 14:32:08] [Info] Connect www.google.com:443
[2020-09-14 14:32:08] [Info] Connect www.google.com:443
[2020-09-14 14:32:08] [Info] Connect www.google.com:443
[2020-09-14 14:32:08] [Info] Connect www.google.com:443
[2020-09-14 14:32:19] [Info] Disconnect www.google.com:443
[2020-09-14 14:32:19] [Info] Disconnect www.google.com:443
[2020-09-14 14:32:19] [Info] Disconnect www.google.com:443
[2020-09-14 14:32:20] [Info] Direct connect adservice.google.com:443
[2020-09-14 14:35:12] [Info] Disconnect www.google.com:443
[2020-09-14 14:35:24] [Info] Connect clients5.google.com:443
[2020-09-14 14:35:25] [Info] Disconnect clients5.google.com:443
[2020-09-14 14:39:04] [Info] Connect www.google.com:443
[2020-09-14 14:39:13] [Info] Direct connect adservice.google.com:443
[2020-09-14 14:41:24] [Info] Disconnect www.google.com:443
[2020-09-14 14:48:26] [Info] Connect www.google.com:443
[2020-09-14 14:50:28] [Info] Disconnect www.google.com:443
[2020-09-14 15:38:39] [Info] Connect www.google.com:443
[2020-09-14 15:38:48] [Info] Direct connect adservice.google.com:443
[2020-09-14 15:39:40] [Info] Connect sb-ssl.google.com:443
[2020-09-14 15:39:49] [Info] Connect google.com:443
[2020-09-14 15:40:54] [Info] Disconnect www.google.com:443
[2020-09-14 15:41:42] [Info] Disconnect sb-ssl.google.com:443
[2020-09-14 15:42:58] [Info] Disconnect google.com:443
[2020-09-14 16:11:51] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:13:52] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:13:52] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:15:53] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:15:53] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:17:54] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:17:54] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:18:43] [Info] Connect raw.githubusercontent.com:443
[2020-09-14 16:19:57] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:19:57] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:20:25] [Info] Disconnect raw.githubusercontent.com:443
[2020-09-14 16:21:59] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:21:59] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:24:00] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:24:00] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:26:01] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:26:01] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:28:02] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:28:02] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:30:03] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:30:03] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:32:04] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:32:04] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:34:05] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:34:05] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:36:06] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:36:06] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:38:08] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:38:08] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:40:09] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:40:09] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:42:10] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:42:10] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:43:31] [Info] Connect clients4.google.com:443
[2020-09-14 16:44:12] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:44:12] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:45:33] [Info] Disconnect clients4.google.com:443
[2020-09-14 16:46:13] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:46:13] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:47:58] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:47:59] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:50:00] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:50:00] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:52:01] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:52:01] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:54:02] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:54:02] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:56:03] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:56:03] [Info] Connect mtalk.google.com:5228
[2020-09-14 16:58:04] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 16:58:04] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:00:05] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:00:05] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:02:06] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:02:06] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:04:07] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:04:07] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:06:08] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:06:08] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:08:09] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:08:09] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:08:45] [Info] Connect clients4.google.com:443
[2020-09-14 17:10:12] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:10:12] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:10:47] [Info] Disconnect clients4.google.com:443
[2020-09-14 17:12:13] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:12:13] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:14:14] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:14:14] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:16:17] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:16:17] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:18:20] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:18:20] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:20:29] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:20:29] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:22:32] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:22:32] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:24:34] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:24:34] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:26:38] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:26:38] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:28:40] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:28:40] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:30:43] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:30:43] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:32:45] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:32:45] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:34:46] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:34:46] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:36:47] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:36:47] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:37:14] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:37:15] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:38:45] [Info] Connect clients4.google.com:443
[2020-09-14 17:39:18] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:39:18] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:40:47] [Info] Disconnect clients4.google.com:443
[2020-09-14 17:41:19] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:41:19] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:43:20] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:43:20] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:45:21] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:45:21] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:47:22] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:47:22] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:49:23] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:49:23] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:51:24] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:51:24] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:53:25] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:53:25] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:55:28] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:55:28] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:57:29] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:57:29] [Info] Connect mtalk.google.com:5228
[2020-09-14 17:59:30] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 17:59:30] [Info] Connect mtalk.google.com:5228
[2020-09-14 18:01:31] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 18:01:31] [Info] Connect mtalk.google.com:5228
[2020-09-14 18:03:33] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 18:03:33] [Info] Connect mtalk.google.com:5228
[2020-09-14 18:05:35] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 18:05:35] [Info] Connect mtalk.google.com:5228
[2020-09-14 18:07:36] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 18:07:36] [Info] Connect mtalk.google.com:5228
[2020-09-14 18:08:45] [Info] Connect clients4.google.com:443
[2020-09-14 18:09:37] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 18:09:37] [Info] Connect mtalk.google.com:5228
[2020-09-14 18:10:48] [Info] Disconnect clients4.google.com:443
[2020-09-14 18:11:38] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 18:11:38] [Info] Connect mtalk.google.com:5228
[2020-09-14 18:13:39] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 18:13:39] [Info] Connect mtalk.google.com:5228
[2020-09-14 18:15:40] [Info] Disconnect mtalk.google.com:5228
[2020-09-14 18:15:40] [Info] Connect mtalk.google.com:5228
