,Avant-Garde,Blues,Children's,Classical,Comedy/Spoken,Country,Easy Listening,Electronic,Folk,International,Jazz,Latin,New Age,Pop/Rock,R&B;,Reggae,Religious,Stage & Screen,Unknown,Vocal
Avant-Garde,"['Avant-Garde', 'Avant-Garde']","['Avant-Garde', 'Classical', 'New Age', 'Folk', 'Blues']","['Avant-Garde', 'Stage & Screen', ""Children's""]","['Avant-Garde', 'Classical']","['Avant-Garde', 'Pop/Rock', 'Comedy/Spoken']","['Avant-Garde', 'Classical', 'New Age', 'Folk', 'Blues', 'Country']","['Avant-Garde', 'Pop/Rock', 'Easy Listening']","['Avant-Garde', 'Electronic']","['Avant-Garde', 'Classical', 'New Age', 'Folk']","['Avant-Garde', 'Pop/Rock', 'International']","['Avant-Garde', 'Classical', 'Jazz']","['Avant-Garde', 'Pop/Rock', 'Latin']","['Avant-Garde', 'Classical', 'New Age']","['Avant-Garde', 'Pop/Rock']","['Avant-Garde', 'Pop/Rock', 'R&B;']","['Avant-Garde', 'Pop/Rock', 'Reggae']","['Avant-Garde', 'Pop/Rock', 'Religious']","['Avant-Garde', 'Stage & Screen']","['Avant-Garde', 'Pop/Rock', 'Unknown']","['Avant-Garde', 'Classical', 'Vocal']"
Blues,"['Blues', 'Country', 'Latin', 'Easy Listening', 'Avant-Garde']","['Blues', 'Blues']","['Blues', 'Country', 'Latin', 'Stage & Screen', ""Children's""]","['Blues', 'R&B;', 'Classical']","['Blues', 'R&B;', 'Comedy/Spoken']","['Blues', 'Country']","['Blues', 'Country', 'Latin', 'Easy Listening']","['Blues', 'Pop/Rock', 'Electronic']","['Blues', 'Country', 'Folk']","['Blues', 'Country', 'Latin', 'International']","['Blues', 'Jazz']","['Blues', 'Country', 'Latin']","['Blues', 'R&B;', 'Classical', 'New Age']","['Blues', 'Pop/Rock']","['Blues', 'R&B;']","['Blues', 'Reggae']","['Blues', 'Country', 'Latin', 'Religious']","['Blues', 'Country', 'Latin', 'Stage & Screen']","['Blues', 'Country', 'Latin', 'International', 'Unknown']","['Blues', 'Country', 'Latin', 'International', 'Vocal']"
Children's,"[""Children's"", 'Pop/Rock', 'Avant-Garde']","[""Children's"", 'Pop/Rock', 'Blues']","[""Children's"", ""Children's""]","[""Children's"", 'Pop/Rock', 'Avant-Garde', 'Classical']","[""Children's"", 'Pop/Rock', 'Comedy/Spoken']","[""Children's"", 'Pop/Rock', 'Country']","[""Children's"", 'Pop/Rock', 'Easy Listening']","[""Children's"", 'Pop/Rock', 'Electronic']","[""Children's"", 'Pop/Rock', 'Folk']","[""Children's"", 'Pop/Rock', 'International']","[""Children's"", 'Pop/Rock', 'Jazz']","[""Children's"", 'Pop/Rock', 'Latin']","[""Children's"", 'Pop/Rock', 'New Age']","[""Children's"", 'Pop/Rock']","[""Children's"", 'Pop/Rock', 'R&B;']","[""Children's"", 'Pop/Rock', 'Reggae']","[""Children's"", 'Pop/Rock', 'Religious']","[""Children's"", 'Pop/Rock', 'Stage & Screen']","[""Children's"", 'Pop/Rock', 'Unknown']","[""Children's"", 'Pop/Rock', 'Vocal']"
Classical,"['Classical', 'Avant-Garde']","['Classical', 'New Age', 'Folk', 'Blues']","['Classical', 'Stage & Screen', ""Children's""]","['Classical', 'Classical']","['Classical', 'Jazz', 'Comedy/Spoken']","['Classical', 'New Age', 'Folk', 'Blues', 'Country']","['Classical', 'Stage & Screen', 'Easy Listening']","['Classical', 'New Age', 'Electronic']","['Classical', 'New Age', 'Folk']","['Classical', 'New Age', 'International']","['Classical', 'Jazz']","['Classical', 'Latin']","['Classical', 'New Age']","['Classical', 'New Age', 'Pop/Rock']","['Classical', 'New Age', 'Folk', 'R&B;']","['Classical', 'New Age', 'Folk', 'R&B;', 'Reggae']","['Classical', 'Latin', 'Religious']","['Classical', 'Stage & Screen']","['Classical', 'New Age', 'International', 'Unknown']","['Classical', 'Vocal']"
Comedy/Spoken,"['Comedy/Spoken', 'Country', 'Latin', 'Easy Listening', 'Avant-Garde']","['Comedy/Spoken', 'Country', 'Blues']","['Comedy/Spoken', ""Children's""]","['Comedy/Spoken', 'R&B;', 'Classical']","['Comedy/Spoken', 'Comedy/Spoken']","['Comedy/Spoken', 'Country']","['Comedy/Spoken', 'Country', 'Latin', 'Easy Listening']","['Comedy/Spoken', 'R&B;', 'Electronic']","['Comedy/Spoken', 'Folk']","['Comedy/Spoken', 'Country', 'Latin', 'International']","['Comedy/Spoken', 'Country', 'Latin', 'Jazz']","['Comedy/Spoken', 'Country', 'Latin']","['Comedy/Spoken', 'R&B;', 'Classical', 'New Age']","['Comedy/Spoken', 'Pop/Rock']","['Comedy/Spoken', 'R&B;']","['Comedy/Spoken', 'R&B;', 'Reggae']","['Comedy/Spoken', 'Country', 'Latin', 'Religious']","['Comedy/Spoken', 'Pop/Rock', 'Stage & Screen']","['Comedy/Spoken', 'Country', 'Latin', 'International', 'Unknown']","['Comedy/Spoken', 'Country', 'Latin', 'International', 'Vocal']"
Country,"['Country', 'Latin', 'Easy Listening', 'Avant-Garde']","['Country', 'Blues']","['Country', 'Latin', 'Stage & Screen', ""Children's""]","['Country', 'Latin', 'Easy Listening', 'Avant-Garde', 'Classical']","['Country', 'Latin', 'Jazz', 'Comedy/Spoken']","['Country', 'Country']","['Country', 'Latin', 'Easy Listening']","['Country', 'Latin', 'Easy Listening', 'Avant-Garde', 'Electronic']","['Country', 'Folk']","['Country', 'Latin', 'International']","['Country', 'Latin', 'Jazz']","['Country', 'Latin']","['Country', 'Latin', 'Easy Listening', 'New Age']","['Country', 'Pop/Rock']","['Country', 'R&B;']","['Country', 'Reggae']","['Country', 'Latin', 'Religious']","['Country', 'Latin', 'Stage & Screen']","['Country', 'Latin', 'International', 'Unknown']","['Country', 'Latin', 'International', 'Vocal']"
Easy Listening,"['Easy Listening', 'Avant-Garde']","['Easy Listening', 'Jazz', 'Blues']","['Easy Listening', 'Stage & Screen', ""Children's""]","['Easy Listening', 'Avant-Garde', 'Classical']","['Easy Listening', 'Jazz', 'Comedy/Spoken']","['Easy Listening', 'Jazz', 'Comedy/Spoken', 'Country']","['Easy Listening', 'Easy Listening']","['Easy Listening', 'Avant-Garde', 'Electronic']","['Easy Listening', 'New Age', 'Folk']","['Easy Listening', 'Latin', 'International']","['Easy Listening', 'Jazz']","['Easy Listening', 'Latin']","['Easy Listening', 'New Age']","['Easy Listening', 'Avant-Garde', 'Pop/Rock']","['Easy Listening', 'Latin', 'R&B;']","['Easy Listening', 'Vocal', 'Reggae']","['Easy Listening', 'Latin', 'Religious']","['Easy Listening', 'Stage & Screen']","['Easy Listening', 'Latin', 'International', 'Unknown']","['Easy Listening', 'Vocal']"
Electronic,"['Electronic', 'Pop/Rock', 'Avant-Garde']","['Electronic', 'R&B;', 'Blues']","['Electronic', 'Pop/Rock', 'Stage & Screen', ""Children's""]","['Electronic', 'R&B;', 'Classical']","['Electronic', 'Pop/Rock', 'Comedy/Spoken']","['Electronic', 'R&B;', 'Blues', 'Country']","['Electronic', 'Pop/Rock', 'Easy Listening']","['Electronic', 'Electronic']","['Electronic', 'Pop/Rock', 'Folk']","['Electronic', 'Pop/Rock', 'International']","['Electronic', 'Pop/Rock', 'Jazz']","['Electronic', 'Pop/Rock', 'Latin']","['Electronic', 'New Age']","['Electronic', 'Pop/Rock']","['Electronic', 'R&B;']","['Electronic', 'R&B;', 'Reggae']","['Electronic', 'Pop/Rock', 'Religious']","['Electronic', 'Pop/Rock', 'Stage & Screen']","['Electronic', 'Pop/Rock', 'Unknown']","['Electronic', 'R&B;', 'Vocal']"
Folk,"['Folk', 'Latin', 'Easy Listening', 'Avant-Garde']","['Folk', 'Blues']","['Folk', 'Vocal', ""Children's""]","['Folk', 'Classical']","['Folk', 'Comedy/Spoken']","['Folk', 'Blues', 'Country']","['Folk', 'Latin', 'Easy Listening']","['Folk', 'Pop/Rock', 'Electronic']","['Folk', 'Folk']","['Folk', 'Latin', 'International']","['Folk', 'Latin', 'Jazz']","['Folk', 'Latin']","['Folk', 'Classical', 'New Age']","['Folk', 'Pop/Rock']","['Folk', 'R&B;']","['Folk', 'R&B;', 'Reggae']","['Folk', 'Latin', 'Religious']","['Folk', 'Classical', 'Stage & Screen']","['Folk', 'Latin', 'International', 'Unknown']","['Folk', 'Vocal']"
International,"['International', 'Avant-Garde']","['International', 'Folk', 'Blues']","['International', 'Vocal', ""Children's""]","['International', 'Avant-Garde', 'Classical']","['International', 'Jazz', 'Comedy/Spoken']","['International', 'Folk', 'Blues', 'Country']","['International', 'Easy Listening']","['International', 'Avant-Garde', 'Electronic']","['International', 'Folk']","['International', 'International']","['International', 'Jazz']","['International', 'Easy Listening', 'Latin']","['International', 'Avant-Garde', 'Classical', 'New Age']","['International', 'Avant-Garde', 'Pop/Rock']","['International', 'Folk', 'R&B;']","['International', 'Reggae']","['International', 'Religious']","['International', 'Vocal', 'Stage & Screen']","['International', 'Unknown']","['International', 'Vocal']"
