,x1,x2,x3,x4,x5
3637248,8.614811229735326e-05,2808,10,0,204
294923,0.00018215590295,95,21,16,540
622604,0.0001260032501638,677,82,0,796
753685,0.0001152314679846,2808,372,23,855
3145761,0.0001180675305084,2808,10,0,204
32807,0.0001215419709021,101,13,1,855
852007,0.0001103699112768,2808,99,47,540
393257,0.0001192708184217,89,22,5,951
753706,0.0004413384364412,2808,110,11,728
491565,8.439762601925751e-05,2808,462,0,951
3178543,0.0001056076967913,677,3,0,204
65590,0.000206529273448,2808,462,30,951
327735,0.0002362380331997,2808,372,13,855
98361,0.0003841156484098,2808,110,0,728
74,9.849789015431552e-05,2808,462,0,951
753742,0.0002829376909886,2808,110,0,728
196690,0.0002966135705428,403,52,7,796
65620,8.664889528053889e-05,2808,372,0,855
327765,0.0001642807145548,50,10,17,540
3211361,0.0002453291739155,2808,10,0,204
3276902,0.0002276240809019,2808,10,0,204
3506278,0.0001219522266456,677,3,0,204
131178,0.000101086716406,403,43,12,855
262255,0.0002470102035893,677,54,42,951
393345,0.0002916530521468,2808,369,24,1129
557191,0.0004634765994877,2808,110,0,728
163977,9.638782266674802e-05,677,54,0,951
819344,0.0001466735567323,141,36,22,855
98465,0.0001969943637486,2808,364,69,796
98467,8.286788714204501e-05,2808,364,1,796
950441,8.9992020011059e-05,2808,462,2,951
753833,0.0001293166221917,2808,369,3,1129
786613,0.0001921371417673,2808,364,34,796
655547,0.0002275650475223,2808,462,6,951
32971,0.0001500679685813,2808,462,3,951
753868,0.0003696775221079,2808,369,4,1129
164053,0.0003171041751036,677,67,14,1129
622805,0.0001894746940757,677,116,138,855
3145947,8.719922382515382e-05,2808,110,0,728
2064609,0.0001890465638944,2808,110,0,728
884962,0.000169715397485,677,54,6,951
524522,0.000351380083285,2808,369,11,1129
164093,0.0001082469915734,677,116,8,855
491786,8.255236014636075e-05,406,82,1,540
688400,0.0001054861716054,2808,364,5,796
459027,8.255236014636075e-05,229,17,2,245
491802,0.0001081085964315,2808,364,4,796
753963,0.0002212031584525,2808,372,10,855
950571,0.0001625234070809,406,43,10,155
2031918,0.0001976996208047,2808,110,1,728
753985,8.45254989989802e-05,162,37,4,540
328014,0.0001299618779768,141,36,35,855
335,0.0002396860194756,2808,369,22,1129
164175,0.0001687002527892,2808,369,0,1129
65882,0.0002422806806834,406,59,9,855
524634,8.631178369939033e-05,208,61,0,1129
1016154,8.255236014636075e-05,81,18,1,855
164189,0.0001290432854614,2808,369,1,1129
1507678,8.255236014636075e-05,2808,110,1,728
196969,0.000127267464633,95,30,17,855
295274,0.0002411066853802,2808,110,0,728
295276,0.0001291088221387,141,36,35,855
754032,0.0002282936272362,2808,372,615,855
196976,0.000542812259891,403,8,0,728
295285,9.31340537903685e-05,2808,462,0,951
98688,0.0005485974580856,403,49,0,1129
688515,0.000607207092583,677,33,3,728
754055,0.0001213235413863,2808,369,1,1129
33161,0.0001668987816321,677,116,67,855
885138,0.0001650675246905,2808,369,0,1129
98707,0.0001065037008364,2808,369,0,1129
197040,8.690336059049376e-05,101,19,6,245
852405,8.78335974905254e-05,677,116,1,855
441,0.000311987820989,2808,369,2,1129
590265,0.0001109985494219,162,37,4,540
590285,0.0001499066309286,677,99,11,540
491996,9.655924108062116e-05,101,13,1,855
3178979,0.0002284589517201,2808,10,0,204
3539434,8.614498278491479e-05,403,0,0,204
360948,0.0001076018637134,229,27,0,1129
295415,0.0001311717106301,46,12,9,855
950777,8.625468264734642e-05,403,47,0,540
360956,8.632814712426246e-05,406,75,1,245
131581,0.0001655324429041,2808,372,33,855
721409,0.0002147586821235,2808,369,0,1129
98819,8.255236014636075e-05,677,82,1,796
492037,0.0001620762528803,2808,462,7,951
721416,0.0003224392403492,2808,110,0,728
328201,0.0001803760123647,2808,110,0,728
131603,0.0001837510765383,2808,369,0,1129
950805,0.0001163408356802,2808,462,0,951
3670556,0.0002946331800268,677,3,0,204
33316,8.255236014636075e-05,2808,372,1,855
131624,8.255236014636075e-05,677,82,12,796
131627,0.0001559286806262,2808,372,35,855
754219,8.748115261662135e-05,162,39,1,245
885298,0.0004783292019673,162,1,0,1129
393789,0.0001586625315724,403,31,6,951
131650,0.0001988982975068,2808,364,68,796
426564,0.0002669967441907,2808,369,1,1129
754251,0.0002497243921759,2808,462,22,951
589,0.0003234524814111,2808,462,0,951
918111,0.0001256665396054,2808,110,0,728
328288,0.0001409026392648,2808,372,10,855
131681,0.0001050821719098,162,37,14,540
590441,0.0001692868847295,2808,462,12,951
295545,0.0001264231181339,95,30,14,855
918140,0.0004191483717301,2808,110,0,728
885375,0.0001065560133161,2808,369,10,1129
98944,8.831017650951786e-05,2808,364,1,796
492162,0.0002584462254574,208,61,7,1129
262794,0.00028884872328,2808,462,5,951
885387,0.0001242129157446,2808,369,0,1129
590479,0.0001148519353928,2808,364,40,796
590483,0.0003240717247679,89,8,5,1129
